geo,TIME_PERIOD,OBS_VALUE,pred_cost
NO,2008,5.7,2.5
NO,2009,2.4,2.8
NO,2010,3.1,3.1
NO,2011,3.6,3.1
NO,2012,3.1,3.1
NO,2013,3.0,3.4
NO,2014,3.3,2.8
NO,2015,2.5,2.6
NO,2016,2.9,3.9
NO,2017,2.4,3.0
NO,2018,3.2,2.9
NO,2019,2.6,2.3
NO,2020,2.4,3.2
NO,2021,8.7,4.0
NO,2022,8.8,6.2
NO,2023,4.4,3.7
PL,2002,1.9,2.0
PL,2003,2.0,3.0
PL,2004,3.2,2.7
PL,2005,2.5,3.1
PL,2006,3.3,3.8
PL,2007,4.2,3.9
PL,2008,4.0,1.4
PL,2009,0.4,0.8
PL,2010,1.8,2.7
PL,2011,3.3,2.2
PL,2012,2.0,1.1
PL,2013,0.7,0.8
PL,2014,0.7,0.9
PL,2015,0.9,1.1
PL,2016,1.1,2.8
PL,2017,2.6,2.3
PL,2018,2.9,4.1
PL,2019,2.0,3.8
PL,2020,1.4,1.7
PL,2021,6.5,5.1
PL,2022,12.4,18.1
PT,2002,2.8,1.4
PT,2003,1.2,3.4
PT,2004,4.1,3.1
PT,2005,2.0,2.8
PT,2006,3.3,3.4
PT,2007,3.4,5.3
PT,2008,6.3,0.8
PT,2009,-2.2,2.4
PT,2010,1.6,1.3
PT,2011,1.4,1.3
PT,2012,0.6,1.1
PT,2013,1.3,1.7
PT,2014,0.7,1.7
PT,2015,1.2,2.4
PT,2016,1.2,1.9
PT,2017,1.9,2.5
PT,2018,2.3,2.1
PT,2019,2.3,1.9
PT,2020,2.1,2.2
PT,2021,6.5,4.2
PT,2022,12.2,16.5
PT,2023,3.8,2.4
SE,1992,0.7,0.5
SE,1993,0.5,1.8
SE,1994,2.4,4.4
SE,1995,5.5,3.1
SE,1996,3.6,2.5
SE,1997,2.4,2.8
SE,1998,2.8,2.6
SE,1999,2.5,3.5
SE,2000,4.0,3.9
SE,2001,4.5,3.9
SE,2002,3.3,3.6
SE,2003,3.4,4.5
SE,2004,4.0,3.4
SE,2005,3.8,4.9
SE,2006,5.0,5.5
SE,2007,6.1,5.7
SE,2008,4.9,2.9
SE,2009,1.9,2.3
SE,2010,2.6,2.8
SE,2011,3.0,2.6
SE,2012,2.6,2.0
SE,2013,1.6,1.6
SE,2014,0.9,1.9
SE,2015,2.3,2.1
SE,2016,2.1,2.5
SE,2017,2.7,2.7
SE,2018,4.0,3.5
SE,2019,2.7,3.8
SE,2020,-0.1,0.4
SE,2021,6.3,4.4
SE,2022,12.3,16.5
SE,2023,4.2,3.6
SI,2000,8.3,8.0
SI,2001,11.1,4.9
SI,2002,3.3,4.7
SI,2003,5.9,6.1
SI,2004,7.7,4.7
SI,2005,4.6,5.5
SI,2006,6.1,5.2
SI,2007,6.9,6.0
SI,2008,6.6,0.2
SI,2009,-3.1,4.4
SI,2010,5.6,3.1
SI,2011,4.7,0.1
SI,2012,-1.2,-0.3
SI,2013,-1.1,0.1
SI,2014,-0.5,0.8
SI,2015,0.6,-0.0
SI,2016,-1.1,2.8
SI,2017,4.7,2.9
SI,2018,2.7,2.2
SI,2019,3.1,2.2
SI,2020,1.2,3.4
SI,2021,10.7,7.0
SI,2022,14.4,17.2
SI,2023,7.3,2.3
SK,2001,1.6,2.0
SK,2001,2.0,1.9
SK,2002,1.9,1.9
SK,2002,1.9,1.9
SK,2002,1.9,1.7
SK,2003,1.7,1.8
SK,2003,1.7,1.8
SK,2003,2.0,3.0
SK,2004,3.0,3.0
SK,2004,3.0,3.2
SK,2004,3.2,2.5
SK,2005,2.5,2.6
SK,2005,2.5,2.6
SK,2005,2.5,3.0
